discovery keyword,channel name,email,country,URL,AVG views,AVG engagement,notes,reachOut,total subs,date recorded,sampleSize,id
pubg,BagaBoom,testEmail,RU,https://www.youtube.com/channel/UCE-nKrTC2kQn7OeW2sz59eQ/about,35778.94736842105,0.07267783008074269,no notes,0,128019,2018-05-07 14:45:09.191643,20.0,UCE-nKrTC2kQn7OeW2sz59eQ
dota 2 ,GreyShark — Dota 2,testEmail,RU,https://www.youtube.com/channel/UCP9AJLg7O0W9BiCa17Kg2dg/about,5437.333333333333,0.07840209661598822,no notes,0,78770,2018-05-07 14:45:29.822306,25.0,UCP9AJLg7O0W9BiCa17Kg2dg
dota breakdowns,DaredeviIGR,testEmail,GR,https://www.youtube.com/channel/UCZ1YB1QYU92OeIMcuNHA2QQ/about,,,no notes,0,618,2018-05-07 14:45:34.763002,0.0,UCZ1YB1QYU92OeIMcuNHA2QQ
dota breakdowns,Monstercat: Uncaged,testEmail,country not detected,https://www.youtube.com/channel/UCJ6td3C9QlPO9O_J5dF4ZzA/about,321957.125,0.031635361610536705,no notes,1,6841698,2018-05-07 14:45:38.389674,25.0,UCJ6td3C9QlPO9O_J5dF4ZzA
dota breakdowns,Maxime Lebled,testEmail,FR,https://www.youtube.com/channel/UC1umWYFZdqOrKuhR0ALig5A/about,,,no notes,0,72012,2018-05-07 14:45:39.164969,0.0,UC1umWYFZdqOrKuhR0ALig5A
starcraft tourney,ESL,testEmail,country not detected,https://www.youtube.com/channel/UC0G2qz-hoaCswQNgoWU_LTw/about,39041.25,0.008938195711800552,- esports channel,0,987322,2018-05-07 14:45:44.116163,25.0,UC0G2qz-hoaCswQNgoWU_LTw
starcraft tourney,Liquid SC2,testEmail,US,https://www.youtube.com/channel/UCkOFI2akT0yKnPJ0LzfZFUg/about,13070.130434782608,0.005435560005721642,no notes,0,4461,2018-05-07 14:45:48.466274,25.0,UCkOFI2akT0yKnPJ0LzfZFUg
starcraft tourney,WCG,testEmail,KR,https://www.youtube.com/channel/UCivEe7HfArbTX-nbNcR3SXA/about,3345.8695652173915,0.005466939553418665,no notes,0,32850,2018-05-07 14:45:52.630590,25.0,UCivEe7HfArbTX-nbNcR3SXA
starcraft tourney,WCS StarCraft,testEmail,country not detected,https://www.youtube.com/channel/UC2WWBPpcENmF3CkHQx3UB2A/about,5921.666666666667,0.010564275137972808,no notes,0,94420,2018-05-07 14:45:56.481013,25.0,UC2WWBPpcENmF3CkHQx3UB2A
overwatch tracer tutorial,Unit Lost - Great British Gaming,testEmail,country not detected,https://www.youtube.com/channel/UCeJTUiYP64xtfzpL-AagZGA/about,71959.25,0.04285379951468745,- overwatch tips,1,659226,2018-05-07 14:45:59.444456,12.0,UCeJTUiYP64xtfzpL-AagZGA
overwatch tracer tutorial,Lone Hawk,testEmail,US,https://www.youtube.com/channel/UCKIDf_v3Bj2J4JdJ0kE_6FQ/about,3387.733333333333,0.06218513853904281,no notes,0,217987,2018-05-07 14:46:02.137786,16.0,UCKIDf_v3Bj2J4JdJ0kE_6FQ
overwatch tracer tutorial,Overwatchdojo,testEmail,US,https://www.youtube.com/channel/UCYbJ6SGufekKMgzt42Dr1RQ/about,2686.6363636363635,0.05977543661424795,no notes,0,32354,2018-05-07 14:46:06.450638,24.0,UCYbJ6SGufekKMgzt42Dr1RQ
overwatch tutoriial,Bazza Gazza,testEmail,AU,https://www.youtube.com/channel/UCwyqAtZfXgsdMDnatgCTHrQ/about,464352.0,0.03119889246938105,no notes,0,544054,2018-05-07 14:46:11.116309,25.0,UCwyqAtZfXgsdMDnatgCTHrQ
overwatch tutoriial,Rhykker,testEmail,country not detected,https://www.youtube.com/channel/UCRl31PWkfF0a3j3hiDRaCGA/about,57393.875,0.031227490157558914,- diablo content,1,385822,2018-05-07 14:46:13.570056,16.0,UCRl31PWkfF0a3j3hiDRaCGA
