discovery keyword,channel name,email,country,URL,AVG views,AVG engagement,notes,reachOut,total subs,date recorded,sampleSize,id
overwatch tips for beginners,SirDimetrious,testEmail,US,https://www.youtube.com/channel/UCswnhXz7qEVxHGEks0IvcfQ/about,"155,758.33",7.81%,- gaming channel,1,189810,2018-05-07 15:18:33,7,UCswnhXz7qEVxHGEks0IvcfQ
overwatch tips and tricks,Macro,testEmail,US,https://www.youtube.com/channel/UCs3uTN9G4MnZGOfYWoSs9mA/about,"152,424.80",2.46%,- gaming related content,1,43863,2018-05-07 15:18:21,16,UCs3uTN9G4MnZGOfYWoSs9mA
overwatch tips for beginners,SuperButterBuns,testEmail,US,https://www.youtube.com/channel/UCKn72wsF89-DxlA1jlq_fUA/about,"149,905.00",5.64%,- gaming news channel,1,293468,2018-05-07 15:18:31,25,UCKn72wsF89-DxlA1jlq_fUA
dota 2,NoobFromUA,testEmail,country not detected,https://www.youtube.com/channel/UCfsOfLvadg89Bx8Sv_6WERg/about,"147,695.21",0.72%,- pro gaming clips,0,782998,2018-05-07 13:33:03,25,UCfsOfLvadg89Bx8Sv_6WERg
pubg,PUBG WTF,testEmail,US,https://www.youtube.com/channel/UCT1d4QydLziQUmp_lqQirMQ/about,"147,307.12",1.48%,- pubg clips,1,310080,2018-05-07 13:31:27,18,UCT1d4QydLziQUmp_lqQirMQ
overwatch,Dabacabb,testEmail,US,https://www.youtube.com/channel/UCSCBIF1VxeqR-k3XgGH41uA/about,"136,868.48",2.52%,- gaming clips,0,395255,2018-05-07 14:46:45,25,UCSCBIF1VxeqR-k3XgGH41uA
pubg,Luladopub,testEmail,country not detected,https://www.youtube.com/channel/UCXEa3KTNQkkZ8OTFOKwSgSQ/about,"133,078.18",11.28%,- foreign channel,0,163162,2018-05-07 14:45:05,20,UCXEa3KTNQkkZ8OTFOKwSgSQ
pro overwatch vods,xQcOW,testEmail,CA,https://www.youtube.com/channel/UCmDTrq0LNgPodDOFZiSbsww/about,"131,634.21",4.33%,- gaming channel,1,152349,2018-05-07 15:21:33,25,UCmDTrq0LNgPodDOFZiSbsww
home audio,SnohAalegraVEVO,testEmail,country not detected,https://www.youtube.com/channel/UC8cW5MHsFc5S3A2_X9bDfRQ/about,"131,505.39",1.02%,???,0,13728,2018-05-07 15:22:20,19,UC8cW5MHsFc5S3A2_X9bDfRQ
pubg tips,Fugglet,testEmail,country not detected,https://www.youtube.com/channel/UCab4X4DJndQToyX8F68ys0w/about,"118,946.46",3.89%,- pubg content,1,299436,2018-05-07 15:25:15,25,UCab4X4DJndQToyX8F68ys0w
pubG gameplay,StoneMountain64,testEmail,US,https://www.youtube.com/channel/UCN-v-Xn9S7oYk0X2v1jx1Qg/about,"118,060.56",4.02%,- misc gaming channel,1,1690219,2018-05-07 15:24:52,9,UCN-v-Xn9S7oYk0X2v1jx1Qg
overwatch new hero,RejectedShotgun,testEmail,US,https://www.youtube.com/channel/UCV4tUT6UPpvc31z8fBB5MVw/about,"113,486.29",2.10%,- gaming news overwatch,1,294729,2018-05-07 15:17:56,15,UCV4tUT6UPpvc31z8fBB5MVw
god of war review,Downward Thrust,testEmail,US,https://www.youtube.com/channel/UCCOD-tcFzMSiaNkSUB_KVjQ/about,"109,243.09",5.38%,"- gaming news channel
- talks about the meta of gaming industry etc",1,279133,2018-05-07 13:31:01,25,UCCOD-tcFzMSiaNkSUB_KVjQ
overwatch,FreshNuts,testEmail,US,https://www.youtube.com/channel/UC3lfyypCC8Jyhao9TivsOYA/about,"104,451.29",2.37%,- gaming clips,0,64453,2018-05-07 14:46:49,25,UC3lfyypCC8Jyhao9TivsOYA
overwatch,ohnickel,testEmail,US,https://www.youtube.com/channel/UC3xbjTJT2pVNR6b94Vaei5g/about,"96,370.21",3.27%,- overwatch channel,1,917946,2018-05-07 15:17:16,25,UC3xbjTJT2pVNR6b94Vaei5g
dota2,dota2,testEmail,country not detected,https://www.youtube.com/channel/UCTQKT5QqO3h7y32G8VzuySQ/about,"95,750.92",0.62%,- brand channel,0,594269,2018-05-07 13:33:08,25,UCTQKT5QqO3h7y32G8VzuySQ
razer phone review,Erica Griffin,testEmail,US,https://www.youtube.com/channel/UCB2527zGV3A0Km_quJiUaeQ/about,"92,729.85",3.75%,- tech gadget reviews,1,782254,2018-05-07 13:30:07,22,UCB2527zGV3A0Km_quJiUaeQ
overwatch gameplay,Mr. Fruit Gaming Channel,testEmail,US,https://www.youtube.com/channel/UCV96ER3MAI1S81HH6l9wwbQ/about,"87,288.17",5.59%,"- gaming channel
- former big utuber",1,1295459,2018-05-07 15:17:39,13,UCV96ER3MAI1S81HH6l9wwbQ
fortnite strategy,Nerd Plays,testEmail,US,https://www.youtube.com/channel/UCBUsXJkXkLYTgNuP8NLoj4w/about,"84,161.46",4.50%,- fortnight gaming,1,1032920,2018-05-07 15:27:25,25,UCBUsXJkXkLYTgNuP8NLoj4w
fortnite strategy ps4,Poofesure,testEmail,US,https://www.youtube.com/channel/UCwboyKXJkCiHajQorzh-agQ/about,"83,262.90",4.02%,- fortnite comedy viideos?,1,131963,2018-05-07 15:28:50,11,UCwboyKXJkCiHajQorzh-agQ
fornite news,TheCampingRusher - Fortnite,testEmail,CA,https://www.youtube.com/channel/UCwMFwvFgLaFad8ZnKsWBneg/about,"79,958.29",5.30%,"- former big utuber
- currently playing fortnite",1,1089432,2018-05-07 13:31:52,8,UCwMFwvFgLaFad8ZnKsWBneg
fortnite strategy,rhinocrunch,testEmail,US,https://www.youtube.com/channel/UCNFbcu5tU8eFPhjORNPq9pQ/about,"78,553.14",4.79%,- gaming clips,0,1159930,2018-05-07 15:27:26,7,UCNFbcu5tU8eFPhjORNPq9pQ
home audio,Atlantic Records,testEmail,country not detected,https://www.youtube.com/channel/UCe4LM_eKc9ywRmVuBm5pjQg/about,"78,334.45",5.43%,- brand channel,0,7678613,2018-05-07 15:22:01,21,UCe4LM_eKc9ywRmVuBm5pjQg
overwatch tips,FantasticalGamer,testEmail,US,https://www.youtube.com/channel/UCeCYRv2Odpjfr41ts_PkiTw/about,"77,648.48",2.34%,"- fortnight gameplay
- news",1,1084450,2018-05-07 15:16:53,25,UCeCYRv2Odpjfr41ts_PkiTw
